full_name,email,department,program,year
Kristina DelosSantos,kristina.delossantos@student.laverdad.edu.ph,Higher Education,BS Psychology,4
Kristina Delgado,kristina.delgado@student.laverdad.edu.ph,Higher Education,BS Business Administration,1
Ana Martinez,ana.martinez@student.laverdad.edu.ph,Higher Education,BS Criminology,1
Ana Ibanez,ana.ibanez@student.laverdad.edu.ph,Higher Education,BS Psychology,3
Ana Bautista,ana.bautista@student.laverdad.edu.ph,Higher Education,BS Computer Science,1
Liza Lopez,liza.lopez@student.laverdad.edu.ph,Higher Education,BS Computer Science,4
Patricia Alcantara,patricia.alcantara@student.laverdad.edu.ph,Higher Education,BS Computer Science,1
Jessa Lopez,jessa.lopez@student.laverdad.edu.ph,Higher Education,BS Information Technology,3
Jessa Fernandez,jessa.fernandez@student.laverdad.edu.ph,Higher Education,BS Computer Science,1
Angel Ibanez,angel.ibanez@student.laverdad.edu.ph,Higher Education,BS Computer Science,4
Alden Alcantara,alden.alcantara@student.laverdad.edu.ph,Higher Education,BS Psychology,2
Miguel Delgado,miguel.delgado@student.laverdad.edu.ph,Higher Education,BS Criminology,3
Mark Fernandez,mark.fernandez@student.laverdad.edu.ph,Higher Education,BS Computer Science,2
Liza DelosSantos,liza.delossantos@student.laverdad.edu.ph,Higher Education,BS Psychology,3
Jose Ibanez,jose.ibanez@student.laverdad.edu.ph,Higher Education,BS Criminology,1
Rey Torres,rey.torres@student.laverdad.edu.ph,Basic Education,Senior High School - ABM,Grade 7
Angel Velasco,angel.velasco@student.laverdad.edu.ph,Basic Education,Senior High School - STEM,Grade 8
Ethan DelaCruz,ethan.delacruz@student.laverdad.edu.ph,Basic Education,Senior High School - ABM,Grade 9
Nina Cruz,nina.cruz@student.laverdad.edu.ph,Basic Education,Junior High School,Grade 7
Ana Alcantara,ana.alcantara@student.laverdad.edu.ph,Basic Education,Junior High School,Grade 12
Juan Navarro,juan.navarro@student.laverdad.edu.ph,Basic Education,Junior High School - SPED,Grade 9
Jessa Ibanez,jessa.ibanez@student.laverdad.edu.ph,Basic Education,Senior High School - ABM,Grade 10
Gabrielle DelosSantos,gabrielle.delossantos@student.laverdad.edu.ph,Basic Education,Senior High School - STEM,Grade 11
Patricia Bautista,patricia.bautista@student.laverdad.edu.ph,Basic Education,Senior High School - ABM,Grade 8
Mark Cruz,mark.cruz@student.laverdad.edu.ph,Basic Education,Junior High School,Grade 7
Rico Cruz,rico.cruz@student.laverdad.edu.ph,Basic Education,Junior High School - SPED,Grade 7
Angel Reyes,angel.reyes@student.laverdad.edu.ph,Basic Education,Senior High School - ABM,Grade 7
Gabrielle Cruz,gabrielle.cruz@student.laverdad.edu.ph,Basic Education,Senior High School - STEM,Grade 9
Juan Fernandez,juan.fernandez@student.laverdad.edu.ph,Basic Education,Senior High School - ABM,Grade 7
Angel Torres,angel.torres@student.laverdad.edu.ph,Basic Education,Senior High School - HUMSS,Grade 10
